question,answer,question_type,source_chunk_id,doc_id,dataset_type,chunk_idx,provider
『八日目の蝉』は誰の作品ですか？,直木賞作家・角田光代による作品です。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_0,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,0,gemini
『八日目の蝉』は最初にどのような形で発表されましたか？,読売新聞にて連載された長編サスペンス小説として発表されました。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_0,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,0,gemini
『八日目の蝉』は、小説以外にどのようなメディアで展開されましたか？,テレビドラマと映画化されています。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_0,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,0,gemini
映画『八日目の蝉』は、DVD＆ブルーレイでいつ発売されましたか？,劇場公開から半年後の10月28日にDVD＆ブルーレイで発売されました。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_0,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,0,gemini
『八日目の蝉』の物語の核となる登場人物は誰ですか？,妻子ある男と愛し合う女性と、その男の妻が出産した子供です。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_0,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,0,gemini
野々宮希和子が恵理菜を誘拐した理由は？,不倫相手との子供を中絶し、二度と子供を産めない身体になった希和子が、最後に諦めをつけるために見た恵理菜の笑顔に心を奪われたため。,reason,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_1,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,1,gemini
希和子はなぜ小豆島に落ち着いたのか？,テキストからは、希和子が小豆島に落ち着いた理由は明示されていません。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_1,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,1,gemini
希和子は不倫相手に何を信じていたか？,希和子は不倫相手が「いずれ妻と別れる」という常套句を信じていました。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_1,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,1,gemini
希和子は恵理菜を誘拐後、どのように生活を始めたか？,希和子は恵理菜を連れ去った後、小豆島に落ち着き、母と娘として生活を始めました。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_1,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,1,gemini
希和子が中絶した後遺症とは？,希和子は中絶の後遺症により、二度と子供を産めない身体になってしまいました。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_1,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,1,gemini
恵理菜は名前を変えた後、どこで薫と幸せな時間を過ごしましたか？,恵理菜は薫と名乗り、人目を避けて各地を転々としながら幸せな時間を過ごしました。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_2,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,2,gemini
恵理菜と薫の逃避行は何年続きましたか？,恵理菜と薫の逃避行は4年間続きました。,fact,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤_chunk_2,livedoor_0_【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤,livedoor,2,gemini
