question,answer
What is surprising about Regina Willoughby's last season with Columbia City Ballet?,"Her 18-year-old daughter, Melina, is starting her first season with the company at the same time."
When is Regina Willoughby retiring from the stage?,Regina Willoughby will retire from the stage in March.
In what ballet are Regina and Melina performing together?,Regina and Melina are performing together in The Nutcracker.
What roles are Regina and Melina playing in The Nutcracker?,"Regina is playing the Snow Queen, while Melina is in the snow corps and they are both in the Arabian divertissement."
What does Regina think about dancing with her daughter?,"Regina states that it is very surreal to be dancing with her daughter, as she never thought Melina would take ballet this far."
What can the reader find on dancemagazine.com?,The reader can keep reading the article at dancemagazine.com.
Why did Peter Martins take a leave of absence from the New York City Ballet?,Peter Martins requested a leave of absence due to an internal investigation into sexual harassment accusations against him.
Who is leading the interim team at the New York City Ballet?,Ballet master and former principal dancer Jonathan Stafford is leading the four-person interim team.
"Besides Jonathan Stafford, who are the other members of the interim team?","The other members are Justin Peck, Craig Hall, and Rebecca Krohn."
What responsibilities does the interim team have?,"The team is responsible for the day-to-day artistic needs of the company including scheduling, casting and conducting rehearsals."
What might be an advantage of the interim team's lack of extensive leadership experience?,Their close familiarity with the company should help ease the dancers' transition.
"What positions do Justin Peck, Craig Hall and Rebecca Krohn hold?",Justin Peck is NYCB resident choreographer and soloist and Craig Hall and Rebecca Krohn are ballet masters and former dancers with the company.
Which two ballet companies celebrated the Super Bowl in the article?,Pennsylvania Ballet and Boston Ballet celebrated the Super Bowl.
What colors were the Pennsylvania Ballet dancers wearing?,The Pennsylvania Ballet dancers were wearing Eagles green.
Why did the Pennsylvania Ballet dancers include swan arms in their routine?,They included swan arms because they're known as the birds.
What props did Boston Ballet use in their Super Bowl video?,Boston Ballet used props from Prodigal Son.
What makes this a fun way to get in on the football fun?,The article states that the ballet performances are officially a new favorite way to get in on the football fun.
How many Super Bowl wins does the New England Patriots team have?,The New England Patriots team has five Super Bowl wins.
What dance shoe company collaborated with Broadway Dance Center for a new collection?,Só Dança collaborated with Broadway Dance Center to launch a new collection of dance shoes.
What heel heights are the new Só Dança dance shoes offered in?,"The new Só Dança dance shoes are offered in 2.5"" and 3"" heels."
What makes the new dance shoes stable?,The heel is centered under the body.
Who are enjoying the versatility and support of the shoes?,Top industry professionals are enjoying the versatility and support of the shoes.
"If a dancer wants a shoe that provides confidence and stability, how can this new shoe help?",The centered heel provides the dancer with stability.
What ballet company is Rebecca Krohn retiring from?,Rebecca Krohn is retiring from the New York City Ballet.
When did Rebecca Krohn become a principal dancer at NYCB?,Rebecca Krohn became a principal dancer at NYCB in 2012.
What is Rebecca Krohn best known for?,Rebecca Krohn is best known for her flawless execution of classic Balanchine leotard ballets.
What new role will Rebecca Krohn take on at NYCB after her retirement?,"After retiring as a dancer, Rebecca Krohn will become a ballet master at NYCB."
Why was New York City Ballet Rebecca Krohn's dream company?,"As soon as she knew she wanted to be a professional dancer, she knew that she wanted to be in New York City Ballet."
At what age did Rebecca Krohn move to New York to train at the School of American Ballet?,Rebecca Krohn moved to New York at the age of 14 to train at the School of American Ballet.
What Balanchine ballets does the speaker mention as favorites?,"The speaker mentions Balanchine's Stravinsky Violin Concerto, Movements for Piano and Orchestra, and Agon as favorites."
What Robbins ballet does the speaker mention?,The speaker mentions Robbins' Dances at a Gathering.
What is special about sharing the stage with friends and dancing partners?,"Sharing the stage with friends and dancing partners creates an amazing sense of trust and spontaneity, and a feeling of connection."
How did the speaker's relationship with the corps de ballet dancers change as they became a principal dancer?,"As the speaker became a soloist and principal, they wanted to be someone the young dancers could look up to and offer support and advice to them."
What is the main way the speaker's experience in the company changed over the years?,"As the speaker got older, the company started to seem younger and younger."
What does the speaker want to offer the younger dancers?,The speaker wants to offer support and advice to the younger dancers.
What ballet masters has the interviewee connected with?,The interviewee is very close to Karin von Aroldingen and has also been inspired by Susan Hendl.
What is inspiring about Karin von Aroldingen?,Her undying passion for the ballet pieces is incredibly inspiring.
What talent does Susan Hendl have?,She has a wonderful talent of drawing out everyone's unique qualities and femininity.
What is the interviewee most looking forward to in the new role?,"The interviewee is most looking forward to nurturing the dancers and their talents, amazed by how talented everyone is."
What did Peter think about the interviewee staying with the company?,Peter thought it was a great idea for the interviewee to stay with the company.
What does the new role allow the interviewee to do with the ballets in their repertoire?,The new role allows the interviewee to carry on the amazing ballets in their repertoire with the new dancers for the future.
What activities outside of ballet does the dancer look forward to now that they have more time?,"The dancer is looking forward to enjoying museums in the city and cooking more, with the intention of hosting more dinner parties."
Why did the dancer avoid museums during their dancing career?,"The dancer avoided museums because they didn't want to spend their days off on their feet, which would tire them out for dancing."
What is the first piece of advice for young dancers just starting out?,"The first piece of advice is to understand the discipline that ballet instills, which is an invaluable quality whether they continue to dance or not."
What is the second piece of advice for young dancers just starting out?,"The second piece of advice is that you have to treat each day as a new start, being positive and moving forward despite any difficulties."
"According to the text, what is special about ballet?","According to the text, what's so special about ballet is the discipline that it instills."
"How should dancers approach each day, according to the text?","Dancers should treat each day as a fresh start, maintaining a positive attitude and moving forward regardless of previous challenges or feelings."
Who is the new artistic director of the Nevada Ballet Theatre?,"Roy Kaiser is the new artistic director of the Nevada Ballet Theatre, replacing James Canfield."
How many artistic directors has NBT had in its history before Roy Kaiser?,"Roy Kaiser is the fourth artistic director in Nevada Ballet Theatre's 46-year history, implying there were three before him."
What is the name of the upcoming program referencing Roy Kaiser's Balanchine roots?,"The upcoming program referencing Roy Kaiser's Balanchine roots is titled Classic Americana, featuring Serenade and Western Symphony, as well Paul Taylor's Company B."
What is the significance of the 10th Anniversary Celebration of A Choreographer's Showcase?,"It is the event that Kaiser will immediately be involved with upon joining the company, marking the beginning of his tenure."
In what year did Roy Kaiser step down as artistic director of the Pennsylvania Ballet?,Roy Kaiser stepped down as artistic director of the Pennsylvania Ballet in 2014.
What contributions did Roy Kaiser make to Pennsylvania Ballet during his tenure as artistic director?,"During his time as artistic director, Roy Kaiser added 90 new ballets and 35 world premieres to Pennsylvania Ballet's repertoire."
Who was the director of the New York City Ballet before the spring season?,Peter Martins was the director of the New York City Ballet before he retired at the start of the new year.
What was a primary concern of the dancers after Peter Martins' retirement?,"The dancers were concerned about who the new director would be, when they would find out, and if they would have a say in the decision."
Where was Peter Martins' absence most felt?,"Peter Martins' absence was most felt during dress rehearsals, particularly for Balanchine ballets."
What kind of advice did Peter Martins often give during rehearsals?,"Peter Martins often shared wisdom, frequently from Balanchine himself, to help dancers with tricky partnering or difficult sequences."
What aspects of the ballet were questioned after the director's departure?,The ballet dancers wondered who would oversee the Balanchine ballets and who would be in charge of casting.
What impact did the dancers fear a new director could have on their jobs?,"The dancers feared that a new director might bring significant changes, potentially leading to some dancers losing their jobs."
Who wrote the original Nutcracker story and what was it called?,"E.T.A. Hoffmann wrote the original Nutcracker story, titled ""Nutcracker and Mouse King."""
How did Alexandre Dumas alter the Nutcracker story?,"Alexandre Dumas lightened up the story and softened the character descriptions, even changing the protagonist's name."
What was the original protagonist's name and what did it represent?,"The original protagonist's name was Marie Stahlbaum, meaning ""steel tree,"" which represented the repressive family environment she was in."
Who were the choreographer and composer who brought The Nutcracker to the stage?,Marius Petipa was the choreographer and Pyotr Ilyich Tchaikovsky was the composer who brought The Nutcracker to the stage.
Why did Lev Ivanov take over the choreographing duties for The Nutcracker?,Lev Ivanov took over choreographing The Nutcracker because Marius Petipa fell ill.
What were some of the criticisms of the 1892 premiere of The Nutcracker?,"Critics felt the work was uneven, lamented the lack of a main ballerina in the first act, and thought the story was too light compared to historically based stories."
Why did the ballet 'The Nutcracker' survive despite its initial reception?,The ballet survived partially due to the success of Tchaikovsky's score.
When and where did 'The Nutcracker' have its first major exposure outside of Russia?,The Nutcracker's first major exposure outside of Russia took place in London in 1934.
"Who staged Petipa's story ballets on the Vic-Wells Ballet, and from what?",Nikolas Sergeyev staged Petipa's story ballets on the Vic-Wells Ballet (today The Royal Ballet) from the original notation.
When did the Ballet Russe de Monte Carlo bring an abridged version of The Nutcracker to the U.S.?,The Ballet Russe de Monte Carlo brought an abridged version of The Nutcracker to the U.S. in 1940.
"In what year did Willam Christensen choreograph the U.S.'s first full-length Nutcracker, and for which ballet company?","In 1944, Willam Christensen choreographed the U.S.'s first full-length Nutcracker for the San Francisco Ballet."
Which ballet company continues to perform Willam Christensen's version of The Nutcracker each year?,Ballet West continues to perform Willam Christensen's version of The Nutcracker each year.
Who is believed to have first linked The Nutcracker to the Christmas holidays?,George Balanchine is believed to have first linked The Nutcracker to the Christmas holidays.
"According to Robert Greskovic, what impact did George Balanchine have on The Nutcracker?",Robert Greskovic stated that Balanchine was responsible for making The Nutcracker a fixture of the Christmas season and a ballet company's repertory.
When did the New York City Ballet move The Nutcracker performances to December?,"The New York City Ballet moved The Nutcracker performances to December the year after its initial February 1954 presentation, recognizing its holiday appeal."
What purpose does The Nutcracker serve for ballet companies nationwide?,The Nutcracker serves as the financial backbone of ballet companies nationwide.
How do some ballet companies customize The Nutcracker performances?,"Some companies infuse the classic ballet with their own regional heritage, such as setting the ballet at Chicago's 1893 world's fair or including characters from American history."
How many tickets did the San Francisco Ballet sell for The Nutcracker last year?,"San Francisco Ballet sold a total of 87,926 tickets to The Nutcracker last year."
What does The Nutcracker allow companies to do?,The Nutcracker allows companies to put on inventive and cutting-edge works throughout the rest of the year.
"According to Doug Fullington, who welcomes Clara to the Land of Sweets in the original 1892 scenario?","According to dance historian Doug Fullington, the Nutcracker's two sisters welcome Clara to the Land of Sweets."
What is the Candy Cane variation danced to?,The Candy Cane variation is danced to the Russian Trepak music.
Who choreographed the Candy Cane variation?,"Alexandre Shiryaev, the original 1892 dancer, choreographed the Candy Cane variation."
What instrument creates the ethereal twinkling sound in the Sugar Plum Fairy's solo?,"The celesta, a rare instrument Tchaikovsky heard in France, creates the ethereal twinkling sound in the Sugar Plum Fairy's solo."
How much of Balanchine's budget did he spend on the Christmas tree for his 1954 Nutcracker premiere?,"Balanchine spent $25,000 of his $40,000 budget on the Christmas tree for his 1954 Nutcracker premiere."
How much does the New York City Ballet's tree weigh today?,The New York City Ballet's tree weighs one ton.
What is the full height that the New York City Ballet's tree can reach?,The New York City Ballet's tree can reach a full height of 41 feet.
"Who created the role of the Cavalier, and why might he not have performed the variation himself?","Pavel Gerdt created the role, but according to Fullington, he was likely too old to dance the variation himself."
What is a key element of Balanchine's grand pas de deux?,"In Balanchine's grand pas de deux, the lead ballerina holds an arabesque while gliding across the stage on pointe, pulled by her prince."
From where did Balanchine take the toe slide?,"According to Fullington, Balanchine took this slide from Ivanov's original choreography."
"What was the original name of the Sugar Plum Fairy's prince, and what does it mean?","The Sugar Plum Fairy's prince's original name was ""Prince Coqueluche,"" meaning ""whooping cough"" in French; it likely referred to a lozenge candy."
