question,answer,question_type,source_chunk_id,doc_id,dataset_type,chunk_idx,provider
What is surprising about Regina Willoughby's last season with Columbia City Ballet?,"Her 18-year-old daughter, Melina, is also starting her first season with the company.",fact,cc_news_0_Daughter Duo is Dancing in The_chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0,gemini
How old is Regina Willoughby?,Regina Willoughby is 40 years old.,fact,cc_news_0_Daughter Duo is Dancing in The_chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0,gemini
When will Regina Willoughby retire from the stage?,Regina Willoughby will retire in March.,fact,cc_news_0_Daughter Duo is Dancing in The_chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0,gemini
In what ballet are Regina and Melina dancing together?,Regina and Melina are dancing together in The Nutcracker.,fact,cc_news_0_Daughter Duo is Dancing in The_chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0,gemini
What roles do Regina and Melina have in The Nutcracker?,"Regina is performing as the Snow Queen, while Melina is in the snow corps and they are both in the Arabian divertissement.",fact,cc_news_0_Daughter Duo is Dancing in The_chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0,gemini
How does Regina feel about dancing with her daughter?,Regina finds it very surreal to be dancing with her daughter and never thought Melina would take ballet this far.,reason,cc_news_0_Daughter Duo is Dancing in The_chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0,gemini
Why did Peter Martins request a leave of absence?,Peter Martins requested a leave of absence due to an internal investigation into sexual harassment accusations aimed at him.,reason,cc_news_1_New York City Ballet Announces_chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0,gemini
What is the composition of the interim leadership team for the New York City Ballet?,"The interim leadership team is composed of Jonathan Stafford, Justin Peck, Craig Hall, and Rebecca Krohn.",fact,cc_news_1_New York City Ballet Announces_chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0,gemini
What responsibilities will the interim leadership team handle?,"The team will be responsible for the day-to-day artistic needs of the company including scheduling, casting, and conducting rehearsals.",fact,cc_news_1_New York City Ballet Announces_chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0,gemini
Who leads the interim leadership team?,Ballet master and former principal dancer Jonathan Stafford leads the interim leadership team.,fact,cc_news_1_New York City Ballet Announces_chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0,gemini
What roles within NYCB have Justin Peck and Craig Hall previously held?,"Justin Peck is a NYCB resident choreographer and soloist, while Craig Hall is a ballet master and former dancer with the company.",fact,cc_news_1_New York City Ballet Announces_chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0,gemini
How might Rebecca Krohn's recent transition from dancing to a leadership role help the company?,"Her close familiarity with the company, having recently left the stage, should help to ease the dancers' transition.",reason,cc_news_1_New York City Ballet Announces_chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0,gemini
Which two ballet companies participated in Super Bowl-themed performances?,Pennsylvania Ballet and Boston Ballet participated in Super Bowl-themed performances to cheer on their region's respective teams.,fact,cc_news_2_Watch Pennsylvania Ballet & Bo_chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0,gemini
What color were the Pennsylvania Ballet dancers dressed in for their Super Bowl routine?,The Pennsylvania Ballet dancers were dressed in Eagles green for their Super Bowl routine.,fact,cc_news_2_Watch Pennsylvania Ballet & Bo_chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0,gemini
What types of dance moves did the Pennsylvania Ballet perform?,"The Pennsylvania Ballet performed a fast-paced routine full of fouetté turns, sky-high jumps and some swan arms.",fact,cc_news_2_Watch Pennsylvania Ballet & Bo_chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0,gemini
Why did Pennsylvania Ballet include swan arms in their routine?,Pennsylvania Ballet included swan arms in their routine because they are known as the birds.,reason,cc_news_2_Watch Pennsylvania Ballet & Bo_chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0,gemini
Which principal dancer from Boston Ballet was featured in their Super Bowl video?,Principal dancer Paul Craig and soloist Derek Dunn were featured in Boston Ballet's Super Bowl video.,fact,cc_news_2_Watch Pennsylvania Ballet & Bo_chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0,gemini
What ballet work did Boston Ballet reference in their Super Bowl performance and what props were used?,"Boston Ballet referenced Balanchine tricks in their video, and used props from Prodigal Son.",fact,cc_news_2_Watch Pennsylvania Ballet & Bo_chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0,gemini
What dance shoe collection has Só Dança launched?,Só Dança has launched a new collection of dance shoes in collaboration with Broadway Dance Center.,fact,cc_news_3_dance shoes_chunk_0,cc_news_3_dance shoes,cc_news,0,gemini
What heel heights are the Só Dança dance shoes offered in?,"The Só Dança dance shoes are offered in 2.5"" or 3"" heels.",fact,cc_news_3_dance shoes_chunk_0,cc_news_3_dance shoes,cc_news,0,gemini
Why are top industry professionals loving the new Só Dança dance shoes?,Top industry professionals are loving the shoes because they are versatile and supportive.,reason,cc_news_3_dance shoes_chunk_0,cc_news_3_dance shoes,cc_news,0,gemini
Where was the Só Dança dance shoes collection shot?,The dance shoes collection was shot at and in collaboration with Broadway Dance Center.,fact,cc_news_3_dance shoes_chunk_0,cc_news_3_dance shoes,cc_news,0,gemini
What design feature of the Só Dança dance shoes helps dancers feel confident and stable?,"The heel is centered under the body, helping dancers feel confident and stable.",fact,cc_news_3_dance shoes_chunk_0,cc_news_3_dance shoes,cc_news,0,gemini
What is Rebecca Krohn best known for?,Rebecca Krohn is best known for her flawless execution of classic Balanchine leotard ballets.,fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0,gemini
When did Rebecca Krohn join the New York City Ballet as an apprentice?,Rebecca Krohn joined the NYCB as an apprentice in the fall of 1998.,fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0,gemini
When did Rebecca Krohn become a principal dancer?,Rebecca Krohn became a principal dancer in 2012.,fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0,gemini
What role will Rebecca Krohn take on after retiring as a principal dancer?,"After retiring as a principal dancer, Rebecca Krohn will become a ballet master at NYCB.",fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0,gemini
At what age did Rebecca Krohn move to New York?,Rebecca Krohn moved to New York when she was 14 to train at the School of American Ballet.,fact,cc_news_4_Rebecca Krohn on Her Retiremen_chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0,gemini
